id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
vt_001002014,Nawng Ching,MMR001002014,0108213,village_tract,township_001002,,နောင်ချိန်း
vt_001002015,Nam War,MMR001002015,0108214,village_tract,township_001002,,နန့်ဝါ
vt_001002016,War Shawng,MMR001002016,0108215,village_tract,township_001002,,ဝါးရှောင်
vt_001002017,Ding Jang Yang,MMR001002017,0108216,village_tract,township_001002,,ဒိန်ဂျန်ယန်
vt_001002018,Sha Ngaw,MMR001002018,0108217,village_tract,township_001002,,ရှငေါ်
vt_001002019,Ma Ga Ran Yang,MMR001002019,0108218,village_tract,township_001002,,မဂရန်ယန်
vt_001002020,Hpan Dawng,MMR001002020,0108219,village_tract,township_001002,,ဖန်ဒေါင်
vt_001002021,Kan Taw Yang,MMR001002021,0108220,village_tract,township_001002,,ကန်တော်ယန်
vt_001002022,Ka Tsu,MMR001002022,0108221,village_tract,township_001002,,ကဇူး
vt_001002023,Gar Ra Yang,MMR001002023,0108222,village_tract,township_001002,,ဂါးရာယန်
vt_001002024,Nam Sang Yang,MMR001002024,0108223,village_tract,township_001002,,နမ့်ဆန်ယန်
vt_001002025,Da Bat Yang,MMR001002025,0108224,village_tract,township_001002,,ဒဘတ်ယန်
vt_001002026,Hseng Law,MMR001002026,0108225,village_tract,township_001002,,ဆိုင်လော်
vt_001002027,Man Wein,MMR001002027,0108226,village_tract,township_001002,,မန်ဝိန်း
vt_001002028,San Kar,MMR001002028,0108227,village_tract,township_001002,,စန်းကား
vt_001002029,San Pai,MMR001002029,0108228,village_tract,township_001002,,စန်ပိုင်
vt_001002030,Hpon Tang Kawng,MMR001002030,0108229,village_tract,township_001002,,ဖုန်တန်ကောင်
vt_001002031,Sa Hpar,MMR001002031,0108230,village_tract,township_001002,,ဆဖား
vt_001002032,Hpawt Dawt,MMR001002032,0108231,village_tract,township_001002,,ဖော့ဒေါ့
vt_001002033,Sa Nar,MMR001002033,0108232,village_tract,township_001002,,ဆနာ
vt_001002034,La Hpai,MMR001002034,0108233,village_tract,township_001002,,လဖိုင်
vt_001002035,Waw Chont,MMR001002035,0108234,village_tract,township_001002,,ဝေါ့ချုံ့
vt_001002036,Hpon Kraw,MMR001002036,0108235,village_tract,township_001002,,ဖုန်ကရော်
vt_001002037,Lu Htaung,MMR001002037,0108236,village_tract,township_001002,,လုထောင်
vt_001002038,Lawt Pun,MMR001002038,0108237,village_tract,township_001002,,လော့ပွန်
vt_001002039,Zahkung,MMR001002039,0108238,village_tract,township_001002,,ဇခုန်
vt_001002040,Saga Par,MMR001002040,0108239,village_tract,township_001002,,ဆဂါပါ
ward_001002701501,No (1) Ward,MMR001002701501,0000nan,ward,township_001002,town_001002701,အမှတ် (၁) ရပ်ကွက်
ward_001002701502,No (2) Ward,MMR001002701502,0000nan,ward,township_001002,town_001002701,အမှတ် (၂) ရပ်ကွက်
ward_001002701503,No (3) Ward,MMR001002701503,0000nan,ward,township_001002,town_001002701,အမှတ် (၃) ရပ်ကွက်
ward_001002701504,No (4) Ward,MMR001002701504,0000nan,ward,township_001002,town_001002701,အမှတ် (၄) ရပ်ကွက်
ward_001002701505,No (5) Ward,MMR001002701505,0000nan,ward,township_001002,town_001002701,အမှတ် (၅) ရပ်ကွက်
ward_001002702501,No (1) Ward,MMR001002702501,0163001,ward,township_001002,town_001002702,အမှတ် (၁) ရပ်ကွက်
ward_001002702502,No (2) Ward,MMR001002702502,0163002,ward,township_001002,town_001002702,အမှတ် (၂) ရပ်ကွက်
ward_001002702503,No (3) Ward,MMR001002702503,0163003,ward,township_001002,town_001002702,အမှတ် (၃) ရပ်ကွက်
ward_001002702504,No (4) Ward,MMR001002702504,0108004,ward,township_001002,town_001002702,အမှတ် (၄) ရပ်ကွက်
ward_001002702505,No (5) Ward,MMR001002702505,0163005,ward,township_001002,town_001002702,အမှတ် (၅) ရပ်ကွက်
ward_001002703501,No (1) Ward,MMR001002703501,0164001,ward,township_001002,town_001002703,အမှတ် (၁) ရပ်ကွက်
ward_001002703502,No (2) Ward,MMR001002703502,0164002,ward,township_001002,town_001002703,အမှတ် (၂) ရပ်ကွက်
ward_001002703503,No (3) Ward,MMR001002703503,0164003,ward,township_001002,town_001002703,အမှတ် (၃) ရပ်ကွက်
vt_001003001,In Jun Gar,MMR001003001,0102200,village_tract,township_001003,,အင်ဂျွန်ဂါး
vt_001003002,Shagri Bum,MMR001003002,0102201,village_tract,township_001003,,ရှဂရီဘွမ်
vt_001003003,Mai Rawn,MMR001003003,0102202,village_tract,township_001003,,မိုင်ရွန်း
vt_001003004,Ma Htum,MMR001003004,0102203,village_tract,township_001003,,မထွမ်
vt_001003005,Sam Hpum Gar,MMR001003005,0102204,village_tract,township_001003,,ဆမ်ဖွမ်ဂါး
vt_001003006,In Dung Yang,MMR001003006,0102205,village_tract,township_001003,,အင်ဒုံးယန်
vt_001003007,Hpon Gan,MMR001003007,0102206,village_tract,township_001003,,ဖုန်ဂန်
vt_001003008,Sut Mar Tu,MMR001003008,0102207,village_tract,township_001003,,ဆွပ်မာတူ
vt_001003009,Sa Law Ding Sar,MMR001003009,0102208,village_tract,township_001003,,ဆလော်ဒိန်ဆာ
vt_001003010,Sha Dan Lawt Hkum,MMR001003010,0102209,village_tract,township_001003,,ရှဒန်လော့ခွမ်
vt_001003011,In Man Hka Jang,MMR001003011,0102210,village_tract,township_001003,,အင်မန်ခဂျန်
vt_001003012,In Hpyin Gar,MMR001003012,0102211,village_tract,township_001003,,အင်ဖျင်ဂါး
vt_001003013,Mai Taung,MMR001003013,0102212,village_tract,township_001003,,မိုင်တောင်
vt_001003014,Sha Ga Ri Ka Htaung,MMR001003014,0102213,village_tract,township_001003,,ရှဂရီကထောင်
vt_001003015,Shin Kun (Kying Htaung Ga),MMR001003015,0102214,village_tract,township_001003,,ရှင်ကွန် (ကျိန်ထောင်ဂါး)
vt_001003016,Tsum Dwar Gar,MMR001003016,0102215,village_tract,township_001003,,ဆွမ်ဒွါဂါး
vt_001003017,Pin Laung,MMR001003017,0102216,village_tract,township_001003,,ပင်လောင်
vt_001003018,In Htauk Gar,MMR001003018,0102217,village_tract,township_001003,,အင်ထောက်ဂါး
vt_001003019,Ka Yawng Htein Rawt,MMR001003019,0102218,village_tract,township_001003,,ကရောင်ထိန်ရော့
vt_001003020,Sha Dan Pong War,MMR001003020,0102219,village_tract,township_001003,,ရှဒန်ပုန်ဝါ
vt_001003021,In Trein Hka Yam,MMR001003021,0102220,village_tract,township_001003,,အင်တျိန်ခရမ်
vt_001003022,Hkan Dauk Yang,MMR001003022,0102221,village_tract,township_001003,,ခန်ဒေါက်ယန်
vt_001003023,Jing Mar Yang,MMR001003023,0102222,village_tract,township_001003,,ဂျိန်မာယန်
vt_001003024,In Waing Kawng,MMR001003024,0102223,village_tract,township_001003,,အင်ဝိုင်းကောင်
vt_001003025,Myit Son,MMR001003025,0102224,village_tract,township_001003,,မြစ်ဆုံ
vt_001003026,In Pauk Chet,MMR001003026,0102225,village_tract,township_001003,,အင်ပေါက်ချက်
vt_001003027,In Hku Gar,MMR001003027,0102226,village_tract,township_001003,,အင်ခူဂါး
vt_001003028,In Ji Au Mar,MMR001003028,0102227,village_tract,township_001003,,အင်ဂျီအူးမား
vt_001003029,Ka Kyee Htu La Nang,MMR001003029,0102228,village_tract,township_001003,,ဂကျီးထုလနန်
vt_001003030,La Gan In Bauk Htu,MMR001003030,0102229,village_tract,township_001003,,လဂန်အင်ဘောက်တူ
vt_001003031,Tsum Hpawng,MMR001003031,0102230,village_tract,township_001003,,ဆွမ်ဖောင်း
vt_001003032,Au Ga Au Si,MMR001003032,0102231,village_tract,township_001003,,အူဂါအူဆီ
vt_001003033,In Gawt Au Mar,MMR001003033,0102232,village_tract,township_001003,,အင်ဂေါ့အူမား
vt_001003034,Shadan Ding Sa,MMR001003034,0102233,village_tract,township_001003,,ရှင်ဒန်ဒိန်ဆာ
vt_001003035,In Pawm Bum,MMR001003035,0102234,village_tract,township_001003,,အင်ပေါမ်ဘွမ်း
vt_001003036,La Zee Gum Yang Lar,MMR001003036,0102235,village_tract,township_001003,,လဇီးဂွမ်ရန်လာ
vt_001003037,La Wa Yang,MMR001003037,0102236,village_tract,township_001003,,လဝါ့ယန်
vt_001003038,Ka Kyee Htu,MMR001003038,0102237,village_tract,township_001003,,ကကျီးထူ
vt_001003039,Sa Law Ding Ngut,MMR001003039,0102238,village_tract,township_001003,,ဆလော်ဒိန်ငွတ်
vt_001003040,Ma Kyang Ding Sa,MMR001003040,0102239,village_tract,township_001003,,မကျန်ဒိန်ဆာ
vt_001003041,Ka Ring Gar,MMR001003041,0102240,village_tract,township_001003,,ကရိန်ဂါး
vt_001003042,Hkum Bwe Au Mar,MMR001003042,0102241,village_tract,township_001003,,ခွမ်ဘွဲအူမား
