id,name,code,zip,district_id:id,latitude,longitude
township_015006,Narphan,MMR015006,,district_015D007,22.60793,99.09258
township_015007,Pangwaun,MMR015007,,district_015D006,23.05628,99.30908
township_015008,Mongmao,MMR015008,,district_015D006,22.9672,98.9674
township_015009,Muse,MMR015009,,district_015D002,24.0292325,98.01692
township_015010,Namhkan,MMR015010,,district_015D002,23.837,97.6818
township_015011,Kutkai,MMR015011,,district_015D002,23.51759,98.021015
township_015012,Kyaukme,MMR015012,,district_015D003,22.70189333,96.88168
township_015013,Nawnghkio,MMR015013,,district_015D003,22.33003,96.79895
township_015014,Hsipaw,MMR015014,,district_015D003,22.61894,97.2981
township_015015,Namtu,MMR015015,,district_015D003,23.09361,97.40049
township_015016,Namhsan,MMR015016,,district_015S001,22.96407,97.16126
township_015017,Mongmit,MMR015017,,district_015D008,23.11422,96.66999
township_015018,Mabein,MMR015018,,district_015D008,23.47292,96.6292
township_015019,Manton,MMR015019,,district_015S001,23.24648,97.12222
township_015020,Kunlong,MMR015020,,district_015D001,23.41645,98.65053
township_015021,Hopang,MMR015021,,district_015D006,23.38589333,98.80107333
township_015022,Laukkaing,MMR015022,,district_015S002,23.5836,98.794135
township_015023,Konkyan,MMR015023,,district_015S002,23.96179,98.668065
township_015024,Matman,MMR015024,,district_015D007,21.95417,98.87088
township_015201,Konkyan (Kokang SAZ),MMR015201,,district_015D221,,
township_015202,Laukkaing (Kokang SAZ),MMR015202,,district_015D221,,
township_015203,Chinshwehaw Sub-township (Kokang SAZ),MMR015203,,district_015D221,,
township_015301,Nam Tit,MMR015301,,district_015D331,,
township_015302,Nar Wee (Na Wi),MMR015302,,district_015D331,,
township_015303,Man Tun,MMR015303,,district_015D331,,
township_015304,Kawng Min Hsang,MMR015304,,district_015D331,,
township_015305,Hsawng Hpa (Saun Pha),MMR015305,,district_015D331,,
township_015306,Hkun Mar (Hkwin Ma),MMR015306,,district_015D331,,
township_015307,Long Htan,MMR015307,,district_015D331,,
township_015308,Yawng Lin,MMR015308,,district_015D331,,
township_015309,Lin Haw,MMR015309,,district_015D331,,
township_015310,Ka Lawng Hpar,MMR015310,,district_015D331,,
township_015311,Aik Chan (Ai' Chun),MMR015311,,district_015D331,,
township_015312,Yin Pang,MMR015312,,district_015D331,,
township_015313,Man Man Hseng,MMR015313,,district_015D332,,
township_015314,Nawng Hkit,MMR015314,,district_015D332,,
township_015315,Nam Hkam Wu,MMR015315,,district_015D332,,
township_015316,Nar Kawng,MMR015316,,district_015D332,,
township_015317,Pang Hkam,MMR015317,,district_015D332,,
township_015318,Pang Yang,MMR015318,,district_015D332,,
township_016001,Kengtung,MMR016001,,district_016D001,21.29189,99.6036
township_016002,Mongkhet,MMR016002,,district_016D001,21.7499,99.46377
township_016003,Mongyang,MMR016003,,district_016D001,21.925275,99.498605
township_016005,Mongla,MMR016005,,district_016D001,21.6729,100.01867
township_016006,Monghsat,MMR016006,,district_016D002,20.62296,99.35542
township_016007,Mongping,MMR016007,,district_016D001,21.34012,99.156905
township_016008,Mongton,MMR016008,,district_016D002,19.99687,98.80178667
township_016009,Tachileik,MMR016009,,district_016D003,20.67755333,100.1703667
township_016010,Monghpyak,MMR016010,,district_016D003,20.87804,99.92333
township_016011,Mongyawng,MMR016011,,district_016D003,21.25523,100.45436
township_016319,Mong Hpen,MMR016319,,district_016D333,,
township_016320,Ho Tawng (Ho Tao),MMR016320,,district_016D333,22.04143,99.55067
township_016321,Mong Pawk,MMR016321,,district_016D333,22.00822,99.3101
township_016322,Mong Kar,MMR016322,,district_016D333,,
township_016323,Nam Hpai,MMR016323,,district_016D333,,
township_017001,Pathein,MMR017001,,district_017D001,16.9198675,94.5065425
township_017002,Kangyidaunt,MMR017002,,district_017D001,16.9329,94.89476
township_017003,Thabaung,MMR017003,,district_017D001,17.04734,94.80589
township_017004,Ngapudaw,MMR017004,,district_017D001,16.36000333,94.44608333
township_017005,Kyonpyaw,MMR017005,,district_017D001,17.324275,95.266825
township_017006,Yegyi,MMR017006,,district_017D001,17.31452333,95.09376333
township_017007,Kyaunggon,MMR017007,,district_017D001,17.10768,95.1904
township_017008,Hinthada,MMR017008,,district_017D002,17.61769333,95.41432667
township_017009,Zalun,MMR017009,,district_017D002,17.4781,95.55666
township_017010,Lemyethna,MMR017010,,district_017D002,17.60038,95.17454
township_017011,Myanaung,MMR017011,,district_017D002,18.19870667,95.32272
township_017012,Kyangin,MMR017012,,district_017D002,18.320395,95.193085
township_017013,Ingapu,MMR017013,,district_017D002,17.89401,95.25293
township_017014,Myaungmya,MMR017014,,district_017D003,16.59926,94.92977
township_017015,Einme,MMR017015,,district_017D003,16.8962,95.1805
township_017016,Labutta,MMR017016,,district_017D004,16.05739,94.78318667
township_017017,Wakema,MMR017017,,district_017D003,16.52093,95.156155
township_017018,Mawlamyinegyun,MMR017018,,district_017D004,16.37894,95.26298
township_017019,Maubin,MMR017019,,district_017D005,16.73023,95.6494
township_017020,Pantanaw,MMR017020,,district_017D005,16.98212,95.46595
township_017021,Nyaungdon,MMR017021,,district_017D005,17.04903,95.63359
township_017022,Danubyu,MMR017022,,district_017D005,17.25468,95.59583
township_017023,Pyapon,MMR017023,,district_017D006,16.045505,95.48518
township_017024,Bogale,MMR017024,,district_017D006,16.295,95.3968
township_017025,Kyaiklat,MMR017025,,district_017D006,16.44431,95.72614
township_017026,Dedaye,MMR017026,,district_017D006,16.40806,95.88512
township_018001,Zay Yar Thi Ri,MMR018001,,district_018D001,19.83263,96.24733
township_018002,Za Bu Thi Ri,MMR018002,,district_018D002,19.76867,96.07261
township_018003,Tatkon,MMR018003,,district_018D001,20.13041,96.20297
township_018004,Det Khi Na Thi Ri,MMR018004,,district_018D002,19.70026,96.0905
township_018005,Poke Ba Thi Ri,MMR018005,,district_018D001,19.84383,96.18252
township_018006,Pyinmana,MMR018006,,district_018D002,19.7361,96.20895
township_018007,Lewe,MMR018007,,district_018D002,19.63467,96.11007
township_018008,Oke Ta Ra Thi Ri,MMR018008,,district_018D001,19.891,96.043
