id,name,code,township_id:id,name_mm
town_007009701,Taungoo Town,MMR007009701,township_007009,တောင်ငူ
town_007009702,Kaytumati Town,MMR007009702,township_007009,ကေတုမတီ
town_007010701,Yedashe Town,MMR007010701,township_007010,ရေတာရှည်
town_007010702,Hswar Town,MMR007010702,township_007010,ဆွာ
town_007010703,Yae Ni Town,MMR007010703,township_007010,ရေနီ
town_007010704,Myo Hla Town,MMR007010704,township_007010,မြို့လှ
town_007011701,Kyaukkyi Town,MMR007011701,township_007011,ကျောက်ကြီး
town_007012701,Phyu Town,MMR007012701,township_007012,ဖြူး
town_007012702,Kanyutkwin Town,MMR007012702,township_007012,ကညွတ်ကွင်း
town_007012703,Zayyawadi Town,MMR007012703,township_007012,ဇေယျ၀တီ
town_007013701,Oktwin Town,MMR007013701,township_007013,အုတ်တွင်း
town_007013702,Kywe Pwe Town,MMR007013702,township_007013,ကျွဲပွဲ
town_007014701,Htantabin Town,MMR007014701,township_007014,ထန်းတပင်
town_008001701,Pyay Town,MMR008001701,township_008001,ပြည်
town_008001702,Paungdale Town,MMR008001702,township_008001,ပေါင်းတလည်
town_008002701,Paukkhaung Town,MMR008002701,township_008002,ပေါက်ခေါင်း
town_008003701,Padaung Town,MMR008003701,township_008003,ပန်းတောင်း
town_008003702,Oakshitpin Town,MMR008003702,township_008003,ဥရှစ်ပင်
town_008004701,Paungde Town,MMR008004701,township_008004,ပေါင်းတည်
town_008005701,Thegon Town,MMR008005701,township_008005,သဲကုန်း
town_008005702,Puteekone Town,MMR008005702,township_008005,ပုတီးကုန်း
town_008005703,Inn Ma Town,MMR008005703,township_008005,အင်းမ
town_008005704,Sin Mee Swea Town,MMR008005704,township_008005,ဆင်မြီးဆွဲ
town_008006701,Shwedaung Town,MMR008006701,township_008006,ရွှေတောင်
town_008007701,Thayarwady Town,MMR008007701,township_008007,သာယာဝတီ
town_008007702,Thonse Town,MMR008007702,township_008007,သုံးဆယ်
town_008008701,Letpadan Town,MMR008008701,township_008008,လက်ပံတန်း
town_008009701,Minhla Town,MMR008009701,township_008009,မင်းလှ
town_008009702,Sit Kwin Town,MMR008009702,township_008009,စစ်ကွင်း
town_008010701,Okpho Town,MMR008010701,township_008010,အုတ်ဖို
town_008010702,Oe Thei Kone Town,MMR008010702,township_008010,အိုးသည်ကုန်း
town_008011701,Zigon Town,MMR008011701,township_008011,ဇီးကုန်း
town_008012701,Nattalin Town,MMR008012701,township_008012,နတ်တလင်း
town_008012702,Tar Pun Town,MMR008012702,township_008012,တာပွန်
town_008013701,Monyo Town,MMR008013701,township_008013,မိုးညို
town_008014701,Gyobingauk Town,MMR008014701,township_008014,ကြို့ပင်ကောက်
town_009001701,Magway Town,MMR009001701,township_009001,မကွေး
town_009002701,Yenangyaung Town,MMR009002701,township_009002,ရေနံချောင်း
town_009003701,Chauk Town,MMR009003701,township_009003,ချောက်
town_009003702,Sa Lay Town,MMR009003702,township_009003,စလေ
town_009004701,Taungdwingyi Town,MMR009004701,township_009004,တောင်တွင်းကြီး
town_009005701,Myothit Town,MMR009005701,township_009005,မြို့သစ်
town_009006701,Natmauk Town,MMR009006701,township_009006,နတ်မောက်
town_009007701,Minbu Town,MMR009007701,township_009007,မင်းဘူး
town_009007702,Saku Town,MMR009007702,township_009007,စကု
town_009008701,Pwintbyu Town,MMR009008701,township_009008,ပွင့်ဖြူ
town_009009701,Ngape Town,MMR009009701,township_009009,ငဖဲ
town_009010701,Salin Town,MMR009010701,township_009010,စလင်း
town_009010702,Sinphyukyun Town,MMR009010702,township_009010,ဆင်ဖြူကျွန်း
town_009011701,Sidoktaya Town,MMR009011701,township_009011,စေတုတ္ထရာ
town_009012701,Thayet Town,MMR009012701,township_009012,သရက်
town_009013701,Minhla Town,MMR009013701,township_009013,မင်းလှ
town_009014701,Mindon Town,MMR009014701,township_009014,မင်းတုန်း
town_009015701,Kamma Town,MMR009015701,township_009015,ကံမ
town_009016701,Aunglan Town,MMR009016701,township_009016,အောင်လံ
