id,name,postcode,township_id:id
zip_04183,Kyetsukyin,04183,township_009019
zip_04184,Pakhamgyi,04184,township_009019
zip_04186,Myaydaw,04186,township_009019
zip_04191,Myaing,04191,township_009020
zip_04192,Linkataw,04192,township_009020
zip_04201,Pakokku,04201,township_009018
zip_04202,Pakokku Myoma (Pakokku University),04202,township_009018
zip_04203,Myitchay,04203,township_009018
zip_04203,Warzi,04203,township_009018
zip_04204,Kyunchaung,04204,township_009018
zip_04206,Kanma(PKU),04206,township_009018
zip_04211,Gantgaw,04211,township_009023
zip_04212,Kyaw,04212,township_009023
zip_04214,Kanywa,04214,township_009023
zip_04215,Hanthawaddy,04215,township_009023
zip_04216,Minywa,04216,township_009023
zip_04221,Htilinn,04221,township_009024
zip_04222,Kyin,04222,township_009024
zip_04231,Pauk,04231,township_009021
zip_04232,Yepyar,04232,township_009021
zip_04241,Saw,04241,township_009025
zip_04242,Kyaukhtu,04242,township_009025
zip_04243,Laungshe,04243,township_009025
zip_04251,Seikpyu,04251,township_009022
zip_04252,Chintaungy,04252,township_009022
zip_05011,Mandalay (GPO),05011,township_010001
zip_05012,Mandalay Nantwin,05012,township_010001
zip_05013,Man (myaukpyin),05013,township_010001
zip_05014,Man (Ashaepyin),05014,township_010001
zip_05015,Eaindawya,05015,township_010001
zip_05021,Yonegyi,05021,township_010002
zip_05022,Man(West),05022,township_010002
zip_05023,Zaycho,05023,township_010002
zip_05024,Mandalay Railway Station,05024,township_010002
zip_05031,Shanzu,05031,township_010003
zip_05032,Mandalay (University),05032,township_010003
zip_05033,Kungyan,05033,township_010003
zip_05041,Chanmyathazi,05041,township_010004
zip_05051,Pyaygyidakhon,05051,township_010005
zip_05052,Sathmutmyothit,05052,township_010005
zip_05061,Amarapura,05061,township_010006
zip_05062,Myitnge,05062,township_010006
zip_05063,Yadanarpon University,05063,township_010006
zip_05064,Boneoh,05064,township_010006
zip_05071,Patheingyi,05071,township_010007
zip_05072,MTU,05072,township_010007
zip_05073,Htonbo,05073,township_010007
zip_05081,PyinOoLwin,05081,township_010008
zip_05082,PyinOoLwinCantonment,05082,township_010008
zip_05083,CSTC,05083,township_010008
zip_05084,Padaythamyothit,05084,township_010008
zip_05085,Ahneesakhan,05085,township_010008
zip_05086,Wetwun,05086,township_010008
zip_05091,Mogoke,05091,township_010011
zip_05092,Kyatpyin,05092,township_010011
zip_05101,Thabeikkyin,05101,township_010012
zip_05102,Dagaung,05102,township_010012
zip_05111,Sintgu,05111,township_010010
zip_05112,Latpanhla,05112,township_010010
zip_05113,Htonegyi,05113,township_010010
zip_05121,Madaya,05121,township_010009
zip_05131,Tadau,05131,township_010016
zip_05141,Sintkaing,05141,township_010014
zip_05142,Paleik,05142,township_010014
zip_05143,Bellin,05143,township_010014
zip_05151,Kyaukse,05151,township_010013
zip_05152,Thanywa,05152,township_010013
zip_05161,Myitthar,05161,township_010015
zip_05162,Kume,05162,township_010015
zip_05171,Wundwin,05171,township_010031
zip_05172,Thedaw,05172,township_010031
zip_05181,Meikhtila,05181,township_010028
zip_05182,Meikhtila Cantonment,05182,township_010028
zip_05183,Meikhtila(BaSaKa),05183,township_010028
zip_05184,Shante,05184,township_010028
zip_05185,Shanmange,05185,township_010028
zip_05186,Kantaung,05186,township_010028
zip_05191,Tharzi,05191,township_010030
zip_05192,Hanza,05192,township_010030
zip_05193,Nyaungyan,05193,township_010030
zip_05201,Mahlaing,05201,township_010029
zip_05211,Pyawbwe,05211,township_010024
zip_05212,Yanaung,05212,township_010024
zip_05221,Yamethin,05221,township_010023
zip_05222,Theinkonegyi,05222,township_010023
zip_05231,NyaungOo,05231,township_010022
zip_05232,Bagan,05232,township_010022
zip_05233,Singu,05233,township_010022
zip_05234,Ngathayouk,05234,township_010022
zip_05235,Taungzinn,05235,township_010022
zip_05236,Latpanchaypaw,05236,township_010022
zip_05241,Kyaukpadaung,05241,township_010020
zip_05242,Popa,05242,township_010020
zip_05251,Myingyan,05251,township_010017
zip_05252,Myingyan Myoma,05252,township_010017
zip_05253,Semekhone,05253,township_010017
zip_05261,Nahtoegyi,05261,township_010019
zip_05262,Pyinsi,05262,township_010019
zip_05271,Taungtha,05271,township_010018
zip_05272,Welaung,05272,township_010018
zip_05273,Yonesingyi,05273,township_010018
zip_05274,Ywathit,05274,township_010018
zip_05275,Semekan,05275,township_010018
zip_05281,Ngazune,05281,township_010021
zip_05282,Myotha,05282,township_010021
zip_05283,Nganhmargyi,05283,township_010021
zip_06011,Taunggyi,06011,township_014001
zip_06012,Taunggyi,06012,township_014001
zip_06013,Taunggyi,06013,township_014001
zip_06014,Taunggyi,06014,township_014001
zip_06015,Taunggyi,06015,township_014001
zip_06016,Kyauktalone,06016,township_014001
zip_06018,Taunggyi,06018,township_014001
zip_06021,Kalaw,06021,township_014005
zip_06022,Kalaw,06022,township_014005
zip_06023,Kalaw,06023,township_014005
zip_06024,Kalaw,06024,township_014005
zip_06025,Kalaw,06025,township_014005
zip_06031,Pintaya,06031,township_014006
zip_06032,Pintaya,06032,township_014006
zip_06041,Ywarngan,06041,township_014007
zip_06042,Ywarngan,06042,township_014007
zip_06043,Ywarngan,06043,township_014007
zip_06051,Pinlaung,06051,township_014009
zip_06052,Pinlong,06052,township_014009
zip_06053,Naungtayar,06053,township_014009
zip_06061,Phiekon,06061,township_014010
zip_06062,Phiekon,06062,township_014010
zip_06064,Phiekon,06064,township_014010
zip_06064,Phiekon,06064,township_014010
zip_06071,Yatsauk,06071,township_014008
zip_06072,Yatsouth,06072,township_014008
zip_06073,Inndaw,06073,township_014008
zip_06074,Yatsauk,06074,township_014008
zip_06081,Nyaungshwe,06081,township_014002
zip_06082,Nyaungshwe,06082,township_014002
zip_06083,Nyaungshwe,06083,township_014002
zip_06084,Nyaungshwe,06084,township_014002
zip_06085,Nyaungshwe,06085,township_014002
zip_06086,Nyaungshwe,06086,township_014002
zip_06087,Nyaungshwe,06087,township_014002
zip_06088,Nyaungshwe,06088,township_014002
zip_06091,Hopone,06091,township_014003
zip_06092,Hopone,06092,township_014003
zip_06093,Hopone,06093,township_014003
zip_06101,Sesai,06101,township_014004
zip_06102,Sesai,06102,township_014004
zip_06103,Sesai,06103,township_014004
zip_06104,Sesai,06104,township_014004
zip_06105,Sesai,06105,township_014004
zip_06111,Loilin,06111,township_014011
zip_06112,Loilin,06112,township_014011
zip_06113,Pinlone,06113,township_014011
zip_06114,Pinlone,06114,township_014011
zip_06121,Laecha,06121,township_014012
zip_06131,Minekai,06131,township_014016
zip_06141,Mineshue,06141,township_014017
zip_06142,Minesan,06142,township_014017
zip_06142,Mineshue,06142,township_014017
zip_06151,Kyaythee,06151,township_014015
zip_06152,Minenaung,06152,township_014015
zip_06153,Kyaythee,06153,township_014015
zip_06161,Nantsan,06161,township_014013
zip_06162,Nantsan,06162,township_014013
zip_06163,Khollan,06163,township_014013
zip_06171,Moenae',06171,township_014019
zip_06172,Kyaingtaung,06172,township_014019
zip_06181,Maukmai,06181,township_014020
zip_06182,Maukmai,06182,township_014020
zip_06191,Linkhe,06191,township_014018
zip_06201,Minepan,06201,township_014021
zip_06202,Homain,06202,township_014021
zip_06211,Konhein,06211,township_014014
zip_06212,Konhein,06212,township_014014
zip_06213,Karli,06213,township_014014
zip_06221,Minepyin,06221,township_015009
zip_06231,Kyaingtong,06231,township_015012
zip_06232,Minelar,06232,township_015012
zip_06233,Kyaingtong,06233,township_015012
zip_06234,Kyaingtong,06234,township_015012
zip_06235,Minelar,06235,township_015012
zip_06241,Mineyang,06241,township_015012
zip_06242,Mineyang,06242,township_015012
zip_06243,Mineyang,06243,township_015012
zip_06251,Minephat,06251,township_015012
zip_06261,Mineyaung,06261,township_015012
zip_06262,Mineyu,06262,township_015012
zip_06263,Mineyaung,06263,township_015012
zip_06264,Mineyaung,06264,township_015012
zip_06271,Tachileik,06271,township_015017
zip_06272,Tarlay,06272,township_015017
zip_06273,Kyainglatt,06273,township_015017
zip_06274,Kyainglatt,06274,township_015017
zip_06281,Minesatt,06281,township_015017
zip_06282,Minekhote,06282,township_015017
zip_06291,Mineton,06291,township_015017
zip_06292,Mineton,06292,township_015017
zip_06301,Lashio,06301,township_015001
zip_06302,Lashio,06302,township_015001
zip_06303,Lashio,06303,township_015009
zip_06304,Lashio,06304,township_015009
zip_06311,Naungcho,06311,township_015012
zip_06312,Naungcho,06312,township_015012
zip_06313,Naungcho,06313,township_015012
zip_06314,Naungcho,06314,township_015012
zip_06321,Kyaukme,06321,township_015012
zip_06322,Kyaukme,06322,township_015012
zip_06323,Kyaukme,06323,township_015012
zip_06324,Naungcho,06324,township_015012
zip_06325,Kyaukme,06325,township_015012
zip_06331,Nantsan(Ma),06331,township_015016
zip_06341,Thipaw,06341,township_015014
zip_06342,Thipal,06342,township_015015
zip_06352,Nantmatu,06352,township_015015
