id,name,name_mm,code,district_id:id
township_237,Chinshwehaw Sub-township (Kokang SAZ),ချင်းရွှေဟော်မြို့နယ်ခွဲ (အထူးဒေသ ၁),MMR015203,district_D070
township_238,Hkun Mar (Hkwin Ma),ခွန်းမား,MMR015306,district_D071
township_239,Hopang,ဟိုပန်,MMR015021,district_D067
township_240,Hsawng Hpa (Saun Pha),ဆောင်ဖ,MMR015305,district_D071
township_241,Hseni,သိန္နီ,MMR015002,district_D062
township_242,Hsipaw,သီပေါ,MMR015014,district_D064
township_243,Ka Lawng Hpar,ကလောင်ဖါ,MMR015310,district_D071
township_244,Kawng Min Hsang,ကောင်မင်ဆန်း,MMR015304,district_D071
township_245,Konkyan,ကုန်းကြမ်း,MMR015023,district_D074
township_246,Konkyan (Kokang SAZ),ကုန်းကြမ်း (အထူးဒေသ ၁),MMR015201,district_D070
township_247,Kunlong,ကွမ်းလုံ,MMR015020,district_D062
township_248,Kutkai,ကွတ်ခိုင်,MMR015011,district_D063
township_249,Kyaukme,ကျောက်မဲ,MMR015012,district_D064
township_250,Lashio,လားရှိုး,MMR015001,district_D062
township_251,Laukkaing,လောက်ကိုင်,MMR015022,district_D074
township_252,Laukkaing (Kokang SAZ),လောက်ကိုင် (အထူးဒေသ ၁),MMR015202,district_D070
township_253,Lin Haw,လင်ဟော်,MMR015309,district_D071
township_254,Long Htan,လုံထန်,MMR015307,district_D071
township_255,Mabein,မဘိမ်း,MMR015018,district_D069
township_256,Man Man Hseng,မန်မန်ဆိုင်,MMR015313,district_D072
township_257,Man Tun,မန်တွန်း,MMR015303,district_D071
township_258,Manton,မန်တုံ,MMR015019,district_D073
township_259,Matman,မက်မန်း,MMR015024,district_D068
township_260,Mongmao,မိုင်းမော,MMR015008,district_D067
township_261,Mongmit,မိုးမိတ်,MMR015017,district_D069
township_262,Mongyai,မိုင်းရယ်,MMR015003,district_D062
township_263,Muse,မူဆယ်,MMR015009,district_D063
township_264,Nam Hkam Wu,နမ်ခမ်းဝူး,MMR015315,district_D072
township_265,Nam Tit,နမ့် တစ်,MMR015301,district_D071
township_266,Namhkan,နမ့်ခမ်း,MMR015010,district_D063
township_267,Namhsan,နမ့်ဆန်,MMR015016,district_D073
township_268,Namtu,နမ္မတူ,MMR015015,district_D064
township_269,Nar Kawng,နားကောင်,MMR015316,district_D072
township_270,Nar Wee (Na Wi),နာဝီး,MMR015302,district_D071
township_271,Narphan,နားဖန်း,MMR015006,district_D068
township_272,Nawng Hkit,နောင်ခစ်,MMR015314,district_D072
township_273,Nawnghkio,နောင်ချို,MMR015013,district_D064
township_274,Pang Hkam,ပန်ခမ့်,MMR015317,district_D072
township_275,Pang Yang,ပန်ယန်း,MMR015318,district_D072
township_276,Pangsang (Panghkam),ပန်ဆန်း (ပန်ခမ်း),MMR015005,district_D068
township_277,Pangwaun,ပန်ဝိုင်,MMR015007,district_D067
township_278,Tangyan,တန့်ယန်း,MMR015004,district_D062
township_279,Yawng Lin,ယောင်လင်း,MMR015308,district_D071
township_280,Yin Pang,ရင်ဖန့်,MMR015312,district_D071
township_281,Hopong,ဟိုပုံး,MMR014003,district_D061
township_282,Hsihseng,ဆီဆိုင်,MMR014004,district_D061
township_283,Kalaw,ကလော,MMR014005,district_D057
township_284,Kunhing,ကွန်ဟိန်း,MMR014014,district_D058
township_285,Kyethi,ကျေးသီး,MMR014015,district_D058
township_286,Laihka,လဲချား,MMR014012,district_D058
township_287,Langkho,လင်းခေး,MMR014018,district_D059
township_288,Lawksawk,ရပ်စောက်,MMR014008,district_D057
township_289,Loilen,လွိုင်လင်,MMR014011,district_D058
township_290,Mawkmai,မောက်မယ်,MMR014020,district_D059
township_291,Monghsu,မိုင်းရှူး,MMR014017,district_D058
township_292,Mongkaing,မိုင်းကိုင်,MMR014016,district_D058
township_293,Mongnai,မိုးနဲ,MMR014019,district_D059
township_294,Mongpan,မိုင်းပန်,MMR014021,district_D059
township_295,Nansang,နမ့်စန်,MMR014013,district_D058
township_296,Nyaungshwe,ညောင်ရွှေ,MMR014002,district_D057
township_297,Pekon,ဖယ်ခုံ,MMR014010,district_D057
township_298,Pindaya,ပင်းတယ,MMR014006,district_D060
township_299,Pinlaung,ပင်လောင်း,MMR014009,district_D061
township_300,Taunggyi,တောင်ကြီး,MMR014001,district_D057
township_301,Ywangan,ရွာငံ,MMR014007,district_D060
township_302,Bokpyin,ဘုတ်ပြင်း,MMR006010,district_D029
township_303,Dawei,ထားဝယ်,MMR006001,district_D027
township_304,Kawthoung,ကော့သောင်း,MMR006009,district_D029
township_305,Kyunsu,ကျွန်းစု,MMR006006,district_D028
township_306,Launglon,လောင်းလုံး,MMR006002,district_D027
township_307,Myeik,မြိတ်,MMR006005,district_D028
township_308,Palaw,ပုလော,MMR006007,district_D028
township_309,Tanintharyi,တနင်္သာရီ,MMR006008,district_D028
township_310,Thayetchaung,သရက်ချောင်း,MMR006003,district_D027
township_311,Yebyu,ရေဖြူ,MMR006004,district_D027
township_312,Ahlone,အလုံ,MMR013037,district_D056
township_313,Bahan,ဗဟန်း,MMR013044,district_D056
township_314,Botahtaung,ဗိုလ်တထောင်,MMR013017,district_D054
township_315,Cocokyun,ကိုကိုးကျွန်း,MMR013032,district_D055
township_316,Dagon,ဒဂုံ,MMR013043,district_D056
township_317,Dagon Myothit (East),ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),MMR013020,district_D054
township_318,Dagon Myothit (North),ဒဂုံမြို့သစ် (မြောက်ပိုင်း),MMR013019,district_D054
township_319,Dagon Myothit (Seikkan),ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),MMR013021,district_D054
township_320,Dagon Myothit (South),ဒဂုံမြို့သစ် (တောင်ပိုင်း),MMR013018,district_D054
township_321,Dala,ဒလ,MMR013030,district_D055
township_322,Dawbon,ဒေါပုံ,MMR013014,district_D054
township_323,Hlaing,လှိုင်,MMR013040,district_D056
township_324,Hlaingtharya,လှိုင်သာယာ,MMR013008,district_D053
township_325,Hlegu,လှည်းကူး,MMR013004,district_D053
township_326,Hmawbi,မှော်ဘီ,MMR013003,district_D053
township_327,Htantabin,ထန်းတပင်,MMR013006,district_D053
township_328,Insein,အင်းစိန်,MMR013001,district_D053
township_329,Kamaryut,ကမာရွတ်,MMR013041,district_D056
township_330,Kawhmu,ကော့မှူး,MMR013028,district_D055
township_331,Kayan,ခရမ်း,MMR013026,district_D055
township_332,Kungyangon,ကွမ်းခြံကုန်း,MMR013029,district_D055
township_333,Kyauktada,ကျောက်တံတား,MMR013033,district_D056
township_334,Kyauktan,ကျောက်တန်း,MMR013024,district_D055
township_335,Kyeemyindaing,ကြည့်မြင်တိုင်,MMR013038,district_D056
township_336,Lanmadaw,လမ်းမတော်,MMR013035,district_D056
township_337,Latha,လသာ,MMR013036,district_D056
township_338,Mayangone,မရမ်းကုန်း,MMR013042,district_D056
township_339,Mingaladon,မင်္ဂလာဒုံ,MMR013002,district_D053
township_340,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,MMR013022,district_D054
township_341,North Okkalapa,မြောက်ဥက္ကလာပ,MMR013012,district_D054
township_342,Pabedan,ပန်းဘဲတန်း,MMR013034,district_D056
township_343,Pazundaung,ပုဇွန်တောင်,MMR013016,district_D054
township_344,Sanchaung,စမ်းချောင်း,MMR013039,district_D056
township_345,Seikgyikanaungto,ဆိပ်ကြီး/ခနောင်တို,MMR013031,district_D055
township_346,Seikkan,ဆိပ်ကမ်း,MMR013045,district_D056
township_347,Shwepyithar,ရွှေပြည်သာ,MMR013007,district_D053
township_348,South Okkalapa,တောင်ဥက္ကလာပ,MMR013011,district_D054
township_349,Taikkyi,တိုက်ကြီး,MMR013005,district_D053
township_350,Tamwe,တာမွေ,MMR013015,district_D054
township_351,Thaketa,သာကေတ,MMR013013,district_D054
township_352,Thanlyin,သန်လျင်,MMR013023,district_D055
township_353,Thingangyun,သင်္ဃန်းကျွန်း,MMR013009,district_D054
township_354,Thongwa,သုံးခွ,MMR013025,district_D055
township_355,Twantay,တွံတေး,MMR013027,district_D055
township_356,Yankin,ရန်ကင်း,MMR013010,district_D054
township_357,Hlaingtharya (East),လှိုင်သာယာ (အရှေ့ပိုင်း),MMR013046,district_D053
township_358,Hlaingtharya (West),လှိုင်သာယာ (အနောက်ပိုင်း),MMR013047,district_D053
