id,name,code,township_id:id
town_155,Nan Mei Khon Town,MMR002002702,township_083
town_156,Hpasawng Town,MMR002006701,township_084
town_157,Hpruso Town,MMR002003701,township_085
town_158,Law Pi Ta Town,MMR002001703,township_086
town_159,Loikaw Town,MMR002001701,township_086
town_160,Loilen Lay Town,MMR002001702,township_086
town_161,Mese Town,MMR002007701,township_087
town_162,Shadaw Town,MMR002004701,township_088
town_163,Hlaingbwe Town,MMR003002701,township_089
town_164,Paingkyon Town,MMR003002702,township_089
town_165,Shan Ywar Thit Town,MMR003002703,township_089
town_166,Hpa-An Town,MMR003001701,township_090
town_167,Hpapun Town,MMR003003701,township_091
town_168,Kamarmaung Town,MMR003003702,township_091
town_169,Kawkareik Town,MMR003006701,township_092
town_170,Kyondoe Town,MMR003006702,township_092
town_171,Hpayarthonesu Town,MMR003007702,township_093
town_172,Kyaikdon Town,MMR003007703,township_093
town_173,Kyainseikgyi Town,MMR003007701,township_093
town_174,Myawaddy Town,MMR003005701,township_094
town_175,Su Ka Li Town,MMR003005702,township_094
town_176,Waw Lay Myaing (Waw Lay) Town,MMR003005703,township_094
town_177,Baw Ga Li Town,MMR003004704,township_095
town_178,Leik Tho Town,MMR003004703,township_095
town_179,Thandaung Town,MMR003004702,township_095
town_180,Thandaunggyi Town,MMR003004701,township_095
town_181,Aunglan Town,MMR009016701,township_096
town_182,Chauk Town,MMR009003701,township_097
town_183,Sa Lay Town,MMR009003702,township_097
town_184,Gangaw Town,MMR009023701,township_098
town_185,Kyaw Town,MMR009023702,township_098
town_186,Kamma Town,MMR009015701,township_099
town_187,Magway Town,MMR009001701,township_100
town_188,Minbu Town,MMR009007701,township_101
town_189,Saku Town,MMR009007702,township_101
town_190,Mindon Town,MMR009014701,township_102
town_191,Minhla Town,MMR009013701,township_103
town_192,Myaing Town,MMR009020701,township_104
town_193,Myothit Town,MMR009005701,township_105
town_194,Natmauk Town,MMR009006701,township_106
town_195,Ngape Town,MMR009009701,township_107
town_196,Kamma Town,MMR009018702,township_108
town_197,Myit Chay Town,MMR009018703,township_108
town_198,Pakokku Town,MMR009018701,township_108
town_199,Pauk Town,MMR009021701,township_109
town_200,Pwintbyu Town,MMR009008701,township_110
town_201,Salin Town,MMR009010701,township_111
town_202,Sinphyukyun Town,MMR009010702,township_111
town_203,Kyaukhtu Town,MMR009025702,township_112
town_204,Saw Town,MMR009025701,township_112
town_205,Seikphyu Town,MMR009022701,township_113
town_206,Sidoktaya Town,MMR009011701,township_114
town_207,Sinbaungwe Town,MMR009017701,township_115
town_208,Taungdwingyi Town,MMR009004701,township_116
town_209,Thayet Town,MMR009012701,township_117
town_210,Tilin Town,MMR009024701,township_118
town_211,Yenangyaung Town,MMR009002701,township_119
town_212,Yesagyo Town,MMR009019701,township_120
town_213,Amarapura Town,MMR010006701,township_121
town_214,Myitnge Town,MMR010006702,township_121
town_215,Aungmyaythazan Town,MMR010001701,township_122
town_216,Mandalay City,MMR010000777,township_122
town_217,Chanayethazan Town,MMR010002701,township_123
town_218,Chanmyathazi Town,MMR010004701,township_124
town_219,Kyaukpadaung Town,MMR010020701,township_125
town_220,Kyaukse Town,MMR010013701,township_126
town_221,Madaya Town,MMR010009701,township_127
town_222,Mahaaungmyay Town,MMR010003701,township_128
town_223,Mahlaing Town,MMR010029701,township_129
town_224,Meiktila Town,MMR010028701,township_130
town_225,Mogoke Town,MMR010011701,township_131
town_226,Myingyan Town,MMR010017701,township_132
town_227,Si Mee Khon Town,MMR010017702,township_132
town_228,Ku Me Town,MMR010015702,township_133
town_229,Myittha Town,MMR010015701,township_133
town_230,Natogyi Town,MMR010019701,township_134
town_231,Ngazun Town,MMR010021701,township_135
town_232,Bagan Town,MMR010022702,township_136
town_233,Ngathayauk Town,MMR010022703,township_136
town_234,Nyaung-U Town,MMR010022701,township_136
town_235,Patheingyi Town,MMR010007701,township_137
town_236,Pyawbwe Town,MMR010024701,township_138
town_237,Pyigyitagon Town,MMR010005701,township_139
town_238,Pyinoolwin Town,MMR010008701,township_140
town_239,Singu Town,MMR010010701,township_141
town_240,Sintgaing Town,MMR010014701,township_142
town_241,Tada-U Town,MMR010016701,township_143
town_242,Taungtha Town,MMR010018701,township_144
town_243,Takaung Town,MMR010012702,township_145
town_244,Thabeikkyin Town,MMR010012701,township_145
town_245,Thazi Town,MMR010030701,township_146
town_246,Wundwin Town,MMR010031701,township_147
town_247,Yamethin Town,MMR010023701,township_148
town_248,Bilin Town,MMR011010701,township_149
town_249,Chaungzon Town,MMR011003701,township_150
town_250,Kyaikmaraw Town,MMR011002701,township_151
town_251,Kyaikto Town,MMR011009701,township_152
town_252,Thein Za Yat Town,MMR011009702,township_152
town_253,Mawlamyine Town,MMR011001701,township_153
town_254,Kamarwet Town,MMR011005702,township_154
town_255,Mudon Town,MMR011005701,township_154
town_256,Paung Town,MMR011008701,township_155
town_257,Zinkyaik Town,MMR011008702,township_155
town_258,Kyaikkhami Town,MMR011004702,township_156
town_259,Thanbyuzayat Town,MMR011004701,township_156
town_260,Thaton Town,MMR011007701,township_157
town_261,Thuwunnawady Town,MMR011007702,township_157
town_262,Khawzar Town,MMR011006703,township_158
town_263,Lamaing Town,MMR011006702,township_158
town_264,Ye Town,MMR011006701,township_158
town_265,Det Khi Na Thi Ri Town,MMR018004701,township_159
town_266,Lewe Town,MMR018007701,township_160
town_267,Oke Ta Ra Thi Ri Town,MMR018008701,township_161
town_268,Poke Ba Thi RiTown,MMR018005701,township_162
town_269,Pyinmana Town,MMR018006701,township_163
town_270,Tatkon Town,MMR018003701,township_164
town_271,Za Bu Thi Ri Town,MMR018002701,township_165
town_272,Nay Pyi Taw Town,MMR018000777,township_166
town_273,Zay Yar Thi Ri Town,MMR018001701,township_166
town_274,Ann Town,MMR012014701,township_167
town_275,Tat Taung Town,MMR012014702,township_167
town_276,Buthidaung Town,MMR012010701,township_168
town_277,Gwa Town,MMR012017701,township_169
town_278,Kyeintali Town,MMR012017702,township_169
town_279,Kyaukpyu Town,MMR012011701,township_170
town_280,Sa Ne Town,MMR012011702,township_170
town_281,Kyauktaw Town,MMR012004701,township_171
town_282,Kha Maung Seik Town,MMR012009703,township_172
town_283,Maungdaw Town,MMR012009701,township_172
town_284,Myin Hlut Town,MMR012009704,township_172
town_285,Taungpyoletwea Town,MMR012009702,township_172
town_286,Minbya Town,MMR012005701,township_173
town_287,Mrauk-U Town,MMR012003701,township_174
town_288,Munaung Town,MMR012012701,township_175
town_289,Kanhtauntkyi Town,MMR012006702,township_176
town_290,Myebon Town,MMR012006701,township_176
town_291,Pauktaw Town,MMR012007701,township_177
town_292,Ponnagyun Town,MMR012002701,township_178
town_293,Lay Taung Town,MMR012013702,township_179
town_294,Ramree Town,MMR012013701,township_179
town_295,Rathedaung Town,MMR012008701,township_180
town_296,Sittwe Town,MMR012001701,township_181
town_297,Ngapali Town,MMR012015702,township_182
town_298,Thandwe Town,MMR012015701,township_182
town_299,Ma-Ei Town,MMR012016702,township_183
town_300,Tan Hlwe Ywar Ma Town,MMR012016703,township_183
town_301,Toungup Town,MMR012016701,township_183
town_302,Ayadaw Town,MMR005014701,township_184
town_303,Banmauk Town,MMR005023701,township_185
town_304,Budalin Town,MMR005013701,township_186
town_305,Chaung-U Town,MMR005015701,township_187
town_306,Hkamti Town,MMR005033701,township_188
town_307,Homalin Town,MMR005034701,township_189
town_308,Mo Waing Lut Town,MMR005034703,township_189
town_309,Shwe Pyi Aye Town,MMR005034702,township_189
town_310,Indaw Town,MMR005021701,township_190
town_311,Maw Lu Town,MMR005021702,township_190
town_312,Kale Town,MMR005027701,township_191
town_313,Kalewa Town,MMR005028701,township_192
town_314,Kanbalu Town,MMR005007701,township_193
town_315,Zee Kone Town,MMR005007702,township_193
town_316,Kani Town,MMR005017701,township_194
town_317,Katha Town,MMR005020701,township_195
town_318,Kawlin Town,MMR005024701,township_196
town_319,Khin-U Town,MMR005005701,township_197
town_320,Kyunhla Town,MMR005008701,township_198
town_321,Lahe Town,MMR005036701,township_199
town_322,Thangpakwe Town,MMR005036702,township_199
town_323,Layshi Town,MMR005035701,township_200
town_324,Mowailut Town,MMR005035702,township_200
town_325,Somra Town,MMR005035703,township_200
town_326,Mawlaik Town,MMR005031701,township_201
town_327,Mingin Town,MMR005029701,township_202
town_328,Monywa Town,MMR005012701,township_203
town_329,Myaung Town,MMR005003701,township_204
town_330,Myinmu Town,MMR005002701,township_205
town_331,Dohi Town,MMR005037703,township_206
town_332,Namyung Town,MMR005037701,township_206
town_333,Pansau Town,MMR005037702,township_206
town_334,Pale Town,MMR005019701,township_207
town_335,Paungbyin Town,MMR005032701,township_208
town_336,Pinlebu Town,MMR005026701,township_209
town_337,Sagaing Town,MMR005001701,township_210
town_338,Sar Taung Town,MMR005001702,township_210
town_339,Salingyi Town,MMR005018701,township_211
town_340,Kyauk Myaung Town,MMR005004702,township_212
town_341,Shwebo Town,MMR005004701,township_212
town_342,Saing Pyin Town,MMR005010702,township_213
town_343,Tabayin Town,MMR005010701,township_213
town_344,Khampat Town,MMR005030703,township_214
town_345,Myothit Town,MMR005030702,township_214
town_346,Tamu Town,MMR005030701,township_214
town_347,Taze Town,MMR005011701,township_215
town_348,Tigyaing Town,MMR005022701,township_216
town_349,Wetlet Town,MMR005006701,township_217
town_350,Wuntho Town,MMR005025701,township_218
town_351,Ye-U Town,MMR005009701,township_219
town_352,Yinmarbin Town,MMR005016701,township_220
town_353,Ho Tawng (Ho Tao) Town,MMR016320701,township_221
town_354,Kengtung Town,MMR016001701,township_222
town_355,Mong Hpen Town,MMR016319701,township_223
town_356,Mong Kar Town,MMR016322701,township_224
town_357,Mong Pawk Town,MMR016321701,township_225
town_358,Monghpyak Town,MMR016010701,township_226
town_359,Monghsat Town,MMR016006701,township_227
town_360,Mongkhoke Town,MMR016006702,township_227
town_361,Mongkhet Town,MMR016002701,township_228
town_362,Mongla Town,MMR016005701,township_229
town_363,Mongping Town,MMR016007701,township_230
town_364,Tontar Town,MMR016007702,township_230
town_365,Hmone Hta Town,MMR016008703,township_231
town_366,Mongton Town,MMR016008701,township_231
town_367,Ponparkyin Town,MMR016008702,township_231
town_368,Mongpauk Town,MMR016003702,township_232
town_369,Mongyang Town,MMR016003701,township_232
town_370,Mongyawng Town,MMR016011701,township_233
town_371,Mongyu Town,MMR016011702,township_233
town_372,Nam Hpai Town,MMR016323701,township_234
town_373,Kenglat Town,MMR016009702,township_235
town_374,Tachileik Town,MMR016009701,township_235
town_375,Tarlay Town,MMR016009703,township_235
town_376,Aik Chan (Ai' Chun) Town,MMR015311701,township_236
town_377,Hkun Mar (Hkwin Ma) Town,MMR015306701,township_238
town_378,Hopang Town,MMR015021701,township_239
town_379,Namtit Town,MMR015021702,township_239
town_380,Pan Lon Town,MMR015021703,township_239
town_381,Hsawng Hpa (Saun Pha) Town,MMR015305701,township_240
town_382,Hseni Town,MMR015002701,township_241
town_383,Hsipaw Town,MMR015014701,township_242
town_384,Ka Lawng Hpar Town,MMR015310701,township_243
town_385,Mong Maw Town,MMR015304702,township_244
town_386,Konkyan Town,MMR015023701,township_245
town_387,Maw Hteik Town,MMR015023702,township_245
town_388,Kunlong Town,MMR015020701,township_247
town_389,Kutkai Town,MMR015011701,township_248
town_390,Tarmoenye Town,MMR015011702,township_248
town_391,Kyaukme Town,MMR015012701,township_249
town_392,Monglon Town,MMR015012703,township_249
town_393,Mongngawt Town,MMR015012702,township_249
town_394,Lashio Town,MMR015001701,township_250
town_395,Chinshwehaw Town,MMR015022702,township_251
town_396,Laukkaing Town,MMR015022701,township_251
town_397,Lin Haw Town,MMR015309701,township_253
town_398,Long Htan Town,MMR015307701,township_254
town_399,Mabein Town,MMR015018701,township_255
town_400,Man Man Hseng Town,MMR015313701,township_256
town_401,Man Tun Town,MMR015303701,township_257
